time,decodedframes,lossframe,losspacket
1706539850188200,45,26,4
1706538854143700,45,25,5
1706537852345300,45,26,5
1706536848748600,44,25,4
1706535854284600,45,25,3
1706534856729900,45,25,8
1706533852278300,46,25,4
1706532853067600,45,25,4
1706531855244000,44,26,5
1706530857733300,46,25,6
1706529850802700,43,26,4
1706528852459400,45,25,3
1706527850705900,45,25,4
1706526856662000,45,26,5
1706525854652300,45,25,6
1706524862527100,45,25,5
1706523849351500,45,26,4
1706522853540700,44,25,7
1706521852587500,46,25,8
1706520852424100,44,25,6
1706519856267600,45,25,6
1706518847323400,45,25,5
1706517850626600,46,25,7
1706516852676900,45,25,8
1706515852441200,44,25,7
1706514858400500,45,26,6
1706513848636700,45,25,9
1706512851811700,45,25,6
1706511860306500,45,25,5
1706510849428700,45,26,5
1706509849786500,45,23,7
1706508847497200,45,28,6
1706507850297700,43,26,7
1706506856462000,47,25,8
1706505847655800,45,25,7
1706504851133400,45,25,7
1706503852780800,45,25,6
1706502847152300,45,25,6
1706501848148500,44,25,6
1706500850457400,44,26,8
1706499855992100,45,27,6
1706498856153000,46,25,7
1706497848877100,45,25,8
1706496853797900,44,25,6
1706495856036900,46,25,7
1706494850668000,44,25,7
1706493852825900,44,25,6
1706492856159100,45,26,6
1706491860913100,45,25,8
1706490850586600,45,25,4
1706489854805300,46,25,6
1706488851573000,44,27,7
1706487856436600,44,25,5
1706486859039800,45,23,4
1706485852228500,45,27,4
1706484849039100,45,25,7
1706483849298300,46,26,5
1706482858565100,44,23,8
1706481847725700,45,28,7
1706480852817900,43,25,7
1706479919375300,44,25,8
1706478849587000,44,25,8
1706477851016500,46,25,6
1706476852427400,44,25,8
1706475857351700,46,26,6
1706474849096600,44,25,8
1706473855066000,45,25,9
1706472858438600,46,26,8
1706471849942900,43,25,8
1706470851137000,45,25,6
1706469847199400,45,25,6
1706468858203000,45,25,6
1706467856197400,46,24,7
1706466848305000,44,27,7
1706465851182800,45,25,6
1706464851546500,44,27,8
1706463855913100,46,25,6
1706462847216300,45,25,7
1706461850818000,44,25,6
1706460858214200,45,26,6
1706459862145000,45,25,7
1706458848060100,47,25,6
1706457847161700,43,25,7
1706456849564500,45,25,8
1706455861517100,45,25,6
1706454853153500,45,25,8
1706453854856600,45,26,8
1706452857160600,45,25,6
1706451852645900,45,25,6
1706450858658500,45,25,8
1706449853665600,44,25,6
1706448853663900,45,26,8
1706447851013500,45,25,6
